A,B,,,,,,,,,,,Description,Connected groups
Renata Moon,We Unify Conference,,,,,,,,,,,We Unify Conference | Physician,
Joseph Varon,We Unify Conference,,,,,,,,,,,We Unify Conference | Physician,
Jeff Evely,We Unify Conference,,,,,,,,,,,We Unify Conference | Veteran,
Glenn Blackett,We Unify Conference,,,,,,,,,,,We Unify Conference | Lawyer,
Ben Perrin,We Unify Conference,,,,,,,,,,,We Unify Conference | Cryptocurrency,
Jesse Fraser,We Unify Conference,,,,,,,,,,,We Unify Conference | Health Coach,
Bonnie Mallard,We Unify Conference,,,,,,,,,,,We Unify Conference | Professor,
Bryce Wade,We Unify Conference,,,,,,,,,,,We Unify Conference | Entrepreneur,
Rod Taylor,We Unify Conference,,,,,,,,,,,We Unify Conference | Politician,
Dallas Brodie,We Unify Conference,,,,,,,,,,,We Unify Conference | Politician,
Drea Humphrey,We Unify Conference,,,,,,,,,,,,
Drea Humphrey,Rebel News,,,,,,,,,,,We Unify Conference | Rebel News,Rebel News
Petar Pejovic,We Unify Conference,,,,,,,,,,,We Unify Conference | Portfolio Manager,
Michael Binnion,We Unify Conference,,,,,,,,,,,,
Michael Binnion,Questerre Energy,,,,,,,,,,,We Unify Conference | Questerre Energy,Questerre Energy
Brad Torry,We Unify Conference,,,,,,,,,,,We Unify Conference | Entrepreneur,
David Parker,We Unify Conference,,,,,,,,,,,,
David Parker,Take Back Alberta,,,,,,,,,,,Take Back Alberta,Take Back Alberta
Adam Waterous,Warerous Energy Fund,,,,,,,,,,,,
Adam Waterous,Strathcons Resources,,,,,,,,,,,,
Adam Waterous,Build Canada,,,,,,,,,,,"Wrote Build Canada energy agenda memo, he and his wife are longtime conservative donors",Build Canada | Waterous Energy Fund | Strathcona Resources Ltd
Tobias Lütke,Shopify,,,,,,,,,,,,
Tobias Lütke,Build Canada,,,,,,,,,,,"Build Canada allegedly grew out of a WhatsApp group created by Tobias Lütke, the founder and CEO of Shopify",Build Canada | Spotify
Daniel Debow,Shopify,,,,,,,,,,,,
Daniel Debow,Build Canada,,,,,,,,,,,"Chair of the Board, Build Canada | According to The Tyee, former Shopify executive Daniel Debow is principally in charge of running Build Canada",Build Canada | Spotify
Ana Curic,Maple Leaf Strategies,,,,,,,,,,,,
Ana Curic,Build Canada,,,,,,,,,,,"Policy Advisor, Build Canada. Former senior official with various responsibilities in the government of Stephen Harper, including chief of staff to former immigration minister Jason Kenney",Build Canada | Maple Leaf Strategies
Lucy Hargreaves,Patch,,,,,,,,,,,,
Lucy Hargreaves,Build Toronto,,,,,,,,,,,,
Lucy Hargreaves,Canada Spends,,,,,,,,,,,,
Lucy Hargreaves,Build Canada,,,,,,,,,,,"CEO, Build Canada",Build Canada
Ben Parry,Restaurant Brands International,,,,,,,,,,,,
Ben Parry,Build Canada,,,,,,,,,,,"""Community"", Build Canada",Build Canada
